"Legacy source ID","Current source URL","Current product name","Current category","Current displayed price (SOURCE VALUE, RUB)","Current price unit (SOURCE VALUE)","Dimensions (SOURCE VALUE)","Current availability text (SOURCE VALUE)","Existing slug","SKU","Launch status","OWNER CONFIRMED PRICE","OWNER CONFIRMED PRICE UNIT","OWNER CONFIRMED SALE UNIT","OWNER CONFIRMED MIN QUANTITY","OWNER CONFIRMED QUANTITY STEP","OWNER CONFIRMED DIMENSIONS","OWNER CONFIRMED AVAILABILITY","OWNER CONFIRMED CATEGORY","Owner notes","OWNER CONFIRMED FEATURED","OWNER CONFIRMED AVAILABILITY DISPLAY","OWNER CONFIRMED PANEL SIZE CM","OWNER CONFIRMED PANEL AREA M2","ORDERABLE WHILE AVAILABILITY UNASSIGNED"
"803168390661","https://marmixflex.ru/tproduct/1706353951-803168390661-kolizei","Колизей","Гибкий мрамор","2 000","за кв.м","","","kolizei","MF-MAR-0135","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"170519238391","https://marmixflex.ru/tproduct/1706353951-170519238391-krestola","Крестола","Гибкий мрамор","2 000","за кв.м","","","krestola","MF-MAR-0017","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"379174374731","https://marmixflex.ru/tproduct/1706353951-379174374731-kristal","Кристал","Гибкий мрамор","2 000","за кв.м","","","kristal","MF-MAR-0063","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"218776586501","https://marmixflex.ru/tproduct/1706353951-218776586501-laguna","Лагуна","Гибкий мрамор","2 000","за кв.м","","","laguna","MF-MAR-0029","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"122456798331","https://marmixflex.ru/tproduct/1706353951-122456798331-madeira","Мадейра","Гибкий мрамор","2 000","за кв.м","","","madeira","MF-MAR-0009","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"353636757971","https://marmixflex.ru/tproduct/1706353951-353636757971-mansoni","Мансони","Гибкий мрамор","2 000","за кв.м","","","mansoni","MF-MAR-0057","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"692931560921","https://marmixflex.ru/tproduct/1706353951-692931560921-sant-ann","Сант-Анн","Гибкий мрамор","2 000","за кв.м","","","sant-ann","MF-MAR-0118","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"889630124171","https://marmixflex.ru/tproduct/1706353951-889630124171-santorini","Санторини","Гибкий мрамор","2 000","за кв.м","","","santorini","MF-MAR-0150","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"558415063981","https://marmixflex.ru/tproduct/1706353951-558415063981-selena","Селена","Гибкий мрамор","2 000","за кв.м","","","selena","MF-MAR-0089","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
"122275408051","https://marmixflex.ru/tproduct/1706353951-122275408051-selva","Сельва","Гибкий мрамор","2 000","за кв.м","","","selva","MF-MAR-0008","INCLUDE","2 000","м²","м²","1 sheet","1 sheet","142 × 284 см (1.42 × 2.84 м); площадь 4.0328 м²","","Гибкий мрамор","","NO","hidden until admin assignment","142 × 284","4.0328","NO"
